rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1665080986917798291,,32,,1624528739,907069921,'',,,3.29,2.15,2.11,,0.0,0.0,0.0,1.0
1665080987018519549,,33,,1624528740,7009983,'',,,3.29,2.15,2.1,,0.0,0.0,0.0,1.0
1665080987119629056,,34,,1624528740,107004880,'',,,3.28,2.15,2.05,,0.0,0.0,0.0,1.0
1665080987219329285,,35,,1624528740,206990957,'',,,3.28,2.14,2.08,,0.0,0.0,0.0,1.0
1665080987318906212,,36,,1624528740,306854963,'',,,3.27,2.13,1.82,,0.0,0.0,0.0,1.0
1665080987417577606,,37,,1624528740,406877040,'',,,3.27,2.13,1.89,,0.0,0.0,0.0,1.0
1665080987519948204,,38,,1624528740,507483005,'',,,3.27,2.13,1.94,,0.0,0.0,0.0,1.0
1665080987620612728,,39,,1624528740,606888055,'',,,3.28,2.14,2.0,,0.0,0.0,0.0,1.0
1665080987719852967,,40,,1624528740,707264900,'',,,3.28,2.15,2.05,,0.0,0.0,0.0,1.0
1665080987817534069,,41,,1624528740,806797981,'',,,3.28,2.14,2.1,,0.0,0.0,0.0,1.0
1665080987923004520,,42,,1624528740,908087015,'',,,3.29,2.14,2.08,,0.0,0.0,0.0,1.0
1665080988020937499,,43,,1624528741,7086038,'',,,3.28,2.13,2.11,,0.0,0.0,0.0,1.0
1665080988120917037,,44,,1624528741,107081890,'',,,3.28,2.14,2.15,,0.0,0.0,0.0,1.0
1665080988221385757,,45,,1624528741,207267999,'',,,3.27,2.13,2.16,,0.0,0.0,0.0,1.0
1665080988320976772,,46,,1624528741,307101964,'',,,3.27,2.13,2.17,,0.0,0.0,0.0,1.0
1665080988421344425,,47,,1624528741,406889915,'',,,3.22,2.11,1.88,,0.0,0.0,0.0,1.0
1665080988521777170,,48,,1624528741,507575035,'',,,3.22,2.12,1.96,,0.0,0.0,0.0,1.0
1665080988622477011,,49,,1624528741,606622934,'',,,3.18,2.12,1.75,,0.0,0.0,0.0,1.0
1665080988721509256,,50,,1624528741,707071065,'',,,3.17,2.12,1.58,,0.0,0.0,0.0,1.0
1665080988819688377,,51,,1624528741,806991100,'',,,3.16,2.12,1.73,,0.0,0.0,0.0,1.0
1665080988921022952,,52,,1624528741,906989097,'',,,3.13,2.12,1.84,,0.0,0.0,0.0,1.0
1665080989020595851,,53,,1624528742,6800889,'',,,3.11,2.14,1.98,,0.0,0.0,0.0,1.0
1665080989119674487,,54,,1624528742,107244968,'',,,3.08,2.15,2.1,,0.0,0.0,0.0,1.0
1665080989221314887,,55,,1624528742,207381963,'',,,3.05,2.14,1.88,,0.0,0.0,0.0,1.0
1665080989322184410,,56,,1624528742,307318925,'',,,3.02,2.15,1.63,,0.0,0.0,0.0,1.0
1665080989429231716,,57,,1624528742,407509088,'',,,2.99,2.13,1.56,,0.0,0.0,0.0,1.0
1665080989523382889,,58,,1624528742,507150888,'',,,2.94,2.13,1.47,,0.0,0.0,0.0,1.0
1665080989622722300,,59,,1624528742,607342004,'',,,2.87,2.12,1.36,,0.0,0.0,0.0,1.0
1665080989721193451,,60,,1624528742,707379102,'',,,2.82,2.13,1.27,,0.0,0.0,0.0,1.0
1665080989824159206,,61,,1624528742,807183980,'',,,2.77,2.13,1.25,,0.0,0.0,0.0,1.0
1665080989921571268,,62,,1624528742,907354116,'',,,2.74,2.13,1.45,,0.0,0.0,0.0,1.0
1665080990026816335,,63,,1624528743,8137941,'',,,2.68,2.13,1.4,,0.0,0.0,0.0,1.0
1665080990118016644,,64,,1624528743,107383012,'',,,2.61,2.12,1.34,,0.0,0.0,0.0,1.0
1665080990219351900,,65,,1624528743,207256078,'',,,2.55,2.11,1.24,,0.0,0.0,0.0,1.0
1665080990317596790,,66,,1624528743,306910991,'',,,2.48,2.1,1.2,,0.0,0.0,0.0,1.0
1665080990417409510,,67,,1624528743,406905889,'',,,2.41,2.08,1.12,,0.0,0.0,0.0,1.0
1665080990517632817,,68,,1624528743,507071971,'',,,2.34,2.08,1.0,,0.0,0.0,0.0,1.0
1665080990619403155,,69,,1624528743,602027893,'',,,2.27,2.06,0.99,,0.0,0.0,0.0,1.0
1665080990721113273,,70,,1624528743,706849098,'',,,2.23,2.06,1.3,,0.0,0.0,0.0,1.0
1665080990821631379,,71,,1624528743,807637929,'',,,2.18,2.05,1.57,,0.0,0.0,0.0,1.0
